Address	Length	Original bytes	Patched bytes
00467CF4	0x1	B8 	C2 
0046803D	0x1	6F 	79 
00468065	0x1	47 	51 
00468608	0x1	A4 	AE 
00468643	0x1	69 	73 
00469872	0x1	3A 	44 
0046991A	0x1	92 	9C 
0046BB44	0x1	68 	72 
0046BE3A	0x1	72 	7C 
0046BF6C	0x1	40 	4A 
0046CC90	0x1	1C 	26 
0046CCE9	0x1	C3 	CD 
0046CD64	0x1	48 	52 
0046D491	0x1	1B 	25 
0046D57C	0x1	30 	3A 
0046E10E	0x1	9E 	A3 
0046E152	0x1	5A 	64 
0046FBA8	0x1	04 	09 
0046FC18	0x1	94 	99 
0046FC88	0x1	24 	29 
0046FCF8	0x1	B4 	B9 
004703C7	0x1	E5 	EA 
0047AD8B	0x1	21 	26 
0047AE3D	0x1	6F 	74 
0047AF10	0x1	9C 	A1 
0047B01F	0x1	8D 	92 
0047B04A	0x1	62 	67 
0047B070	0x1	3C 	41 
0047B4CC	0x1	E0 	E5 
0047B6A6	0x1	06 	0B 
0047B846	0x1	66 	6B 
0047BB65	0x1	47 	4C 
0047BBFE	0x1	AE 	B3 
0047BCD5	0x1	D7 	DC 
0047BF0C	0x1	A0 	A5 
0047BF97	0x1	15 	1A 
0047C022	0x1	8A 	8F 
0047C06F	0x1	3D 	42 
0047C12F	0x1	7D 	82 
0047C237	0x1	75 	7A 
0047C9BA	0x1	F2 	F7 
0047C9DF	0x1	CD 	D2 
0047CA2A	0x1	82 	87 
0047CA4E	0x1	5E 	63 
0047CAC2	0x1	EA 	EF 
0047CBC9	0x1	E3 	E8 
0047CC29	0x1	83 	88 
0047CC89	0x1	23 	28 
0047CD22	0x1	8A 	8F 
0047CD38	0x1	74 	79 
0047CD90	0x1	1C 	21 
0047CDB9	0x1	F3 	F8 
0047CDDD	0x1	CF 	D4 
0047CE0D	0x1	9F 	A4 
0047CE53	0x1	59 	5E 
0047CF2C	0x1	80 	85 
0047CF5B	0x1	51 	56 
0047CFB4	0x1	F8 	FD 
0047CFE3	0x1	C9 	CE 
0047CFF8	0x1	B4 	B9 
0047D01B	0x1	91 	96 
0047D0F5	0x1	B7 	BC 
0047D127	0x1	85 	8A 
0047D1A3	0x1	09 	0E 
0047D1C0	0x1	EC 	F1 
0047D1EF	0x1	BD 	C2 
0047D20F	0x1	9D 	A2 
0047D25A	0x1	52 	57 
0047D283	0x1	29 	2E 
0047D295	0x1	17 	1C 
0047D2A7	0x1	05 	0A 
0047D2CF	0x1	DD 	E2 
0047D2E1	0x1	CB 	D0 
0047D2FB	0x1	B1 	B6 
0047D30D	0x1	9F 	A4 
0047D327	0x1	85 	8A 
0047D339	0x1	73 	78 
0047D36E	0x1	3E 	43 
0047D385	0x1	27 	2C 
0047D397	0x1	15 	1A 
0047D3BF	0x1	ED 	F2 
0047D3DC	0x1	D0 	D5 
0047D429	0x1	83 	88 
0047D462	0x1	4A 	4F 
0047D474	0x1	38 	3D 
0047D4B4	0x1	F8 	FD 
0047D4C6	0x1	E6 	EB 
0047D525	0x1	87 	8C 
0047D537	0x1	75 	7A 
0047D563	0x1	49 	4E 
0047D575	0x1	37 	3C 
0047D5A8	0x1	04 	09 
0047D636	0x1	76 	7B 
0047D65D	0x1	4F 	54 
0047D689	0x1	23 	28 
0047D6BD	0x1	EF 	F4 
0047D6F6	0x1	B6 	BB 
0047D744	0x1	68 	6D 
0047D792	0x1	1A 	1F 
0047D7E0	0x1	CC 	D1 
0047D802	0x1	AA 	AF 
0047D824	0x1	88 	8D 
0047D846	0x1	66 	6B 
0047D868	0x1	44 	49 
0047D87A	0x1	32 	37 
0047D88C	0x1	20 	25 
0047D89E	0x1	0E 	13 
0047D8B0	0x2	FC 43 	01 44 
0047D8C2	0x1	EA 	EF 
0047D8FE	0x1	AE 	B3 
0047D9FE	0x1	AE 	B3 
0047DA28	0x1	84 	89 
0047DA66	0x1	46 	4B 
0047DA8D	0x1	1F 	24 
0047DAB1	0x2	FB 41 	00 42 
0047DAD5	0x1	D7 	DC 
0047DBD0	0x1	DC 	E1 
0047DC0C	0x1	A0 	A5 
0047DC56	0x1	56 	5B 
0047DEA9	0x1	03 	08 
0047DF0C	0x1	A0 	A5 
0047DFA9	0x1	03 	08 
0047DFDF	0x1	CD 	D2 
0047DFEC	0x1	C0 	C5 
0047E016	0x1	96 	9B 
0047E03B	0x1	71 	76 
0047E09B	0x1	11 	16 
0047E0B4	0x1	F8 	FD 
0047E260	0x1	4C 	51 
0047E3DC	0x1	D0 	D5 
0047E546	0x1	66 	70 
